principles	<u><b>principles</b></u>:princípios.		"01.  <font color=""#00aaff""><u>(often plural)</font></u> a set of such moral rules."		(3)princípios	(34205)princípios	princípios								law, standard																														[sound:7001-8000/thesaurus/7001-8000-thesaurus-principles.mp3]					(ˈprɪn sə pəl)	ˈprɪnsəplz,ˈprɪnsɪp(ə)l	ˈprɪn sə pəl																						
precinct		1. a part of a city or a town in which vehicles are not allowed, used for a special purpose, such as shopping. <BR>2. a division of a city or a town, especially an area protected by a particular unit of the police or a division used for voting purposes.			(3)recinto	(1173)esquadra	recinto		área,zona,distrito policial,distrito eleitoral						subdivision																													[sound:7001-8000/howjsay/7001-8000-howjsay-precinct.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-precinct.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-precinct.mp3]				(ˈpri sɪŋkt)	ˈpriːsɪŋkt	ˈpri sɪŋkt																						
meds	<u><b>meds</b></u>:remédios.	1. a medicine or a set of medicines that someone takes regularly.			remédios	(696)remédios,(740)medicamentos	medicamentos		medicação																																					[sound:7001-8000/cambridge/7001-8000-cambridge-cald4us1451.mp3]					medz						"<span class=""ipa dipa"">medz</span>"																	
leash	<u><b>leash</b></u>:correia. <u><b>to leash</b></u>:atar.	1. a chain, piece of leather, etc. that you attach to a dog’s neck and hold in order to control the dog.			(3)trela,(3)coleira	(420)trela,(455)coleira	trela,coleira,·correia	trela,·correia	coleira	<b>leash</b>   trela					rein, hold																													[sound:7001-8000/howjsay/7001-8000-howjsay-leash.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-leash.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-leash.mp3]				(liʃ)	liːʃ	liʃ					"<span class=""ipa dipa"">liʃ</span>"																	
fucks					fode,(3)foder	(239)fode	foder								have sex																													[sound:7001-8000/howjsay/7001-8000-howjsay-fucks.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-fucks.mp3]					(fʌk)	fʌk	fʌk																						
flown		1. past participle of fly.			voou,(1)fluido	(217)voou,(223)voado			particípio passado de “fly”						take to the air, usually employing wings,run or pass swiftly,escape, flee																													[sound:7001-8000/howjsay/7001-8000-howjsay-flown.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-flown.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-flown.mp3]				(floʊn)	flaɪ	floʊn					"<span class=""ipa dipa"">floʊn</span>"																	
feast	<u><b>feast</b></u>:festa,banquete,folia. <u><b>to feast</b></u>:banquetear. <u><b>to feast</b></u>:festejar.	1. a large meal, especially to celebrate something special.			(3)banquete,(3)festa	(4592)festa	banquete,·festim,festa,banquetear	·festim,festa,banquetear	banquete	<b>feast</b>  <b>1.</b>  festim <b>2.</b> <b> with capital</b>  festa  banquetear					banquet and celebration,eat a great amount or very well																													[sound:7001-8000/howjsay/7001-8000-howjsay-feast.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-feast.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-feast.mp3]				(fist)	fiːst	fist					"<span class=""ipa dipa"">fist</span>"																	
deposition	<u><b>deposition</b></u>:testemunho,deposição.				(3)depósito,(3)deposição	(688)depoimento,(930)deposição	depoimento,deposição	,deposição							dethroning, ousting,attestation of truth, especially in legal matters																													[sound:7001-8000/howjsay/7001-8000-howjsay-deposition.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-deposition.mp3]					(ˌdɛp əˈzɪʃ ən, ˌdi pə-)	depəˈzɪʃn	ˌdɛp əˈzɪʃ ən, ˌdi pə-																						
burial	<u><b>burial</b></u>:enterro,sepultamento,inumação.	1. the act of putting a dead body into the ground.			(3)enterro,(3)sepultamento	(1211)enterro	enterro,·sepultura,·sepultamento,cemitério,·enterramento	enterro,·sepultura,·sepultamento,cemitério,·enterramento	sepultamento,enterro	<b>burial</b> &nbsp;enterro&nbsp;</div>					laying in of dead body																													[sound:7001-8000/howjsay/7001-8000-howjsay-burial.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-burial.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-burial.mp3]				(ˈbɛr i əl)	ˈberɪəl	ˈbɛr i əl					"<span class=""ipa dipa"">ˈber·i·əl</span>"																	
werewolf	<u><b>werewolf</b></u>:lobisomem,lobisomen	1. someone who, in stories, changes into a wolf at the time of the full moon (= when the moon is a complete circle).			(3)lobisomem	(1699)lobisomem	lobisomem	lobisomem	lobisomem,licantropo						giant animal; supernatural being																													[sound:7001-8000/howjsay/7001-8000-howjsay-werewolf.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-werewolf.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-werewolf.mp3]				(ˈwɛərˌwʊlf, ˈwɪər-, ˈwɜr-)	ˈwɛːwʊlf	ˈwɛərˌwʊlf, ˈwɪər-, ˈwɜr-					"<span class=""ipa dipa"">ˈwer.wʊlf</span>"																	
trespassing					invasão	(67)invasão de propriedade,(95)invadir,(69)invadindo									invasion, offense,infringe, offend																													[sound:7001-8000/howjsay/7001-8000-howjsay-trespassing.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-trespassing.mp3]						ˈtrespəs	ˈtrɛs pəs, -pæs																						
sidewalk	<u><b>sidewalk</b></u>:passeio,calçada.	1. a path with a hard surface by the side of a road that people walk on.			(3)passeio,(3)calçada	(513)passeio,(762)calçada	passeio,calçada	calçada	calçada						footway,pathway																													[sound:7001-8000/howjsay/7001-8000-howjsay-sidewalk.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-sidewalk.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-sidewalk.mp3]				(ˈsaɪdˌwɔk)	ˈsaɪdwɔːk	ˈsaɪdˌwɔk					"<span class=""ipa dipa"">ˈsɑɪdˌwɔk</span>"																	
punishing	<u><b>punishing</b></u>:surra. <u><b>punishing</b></u>:penoso.	1. very difficult and making you feel tired. <BR>2. to be damaged because of rough treatment.	"02.  To inflict a penalty for <font color=""#00aaff""><u>(an offense)</font></u>."		punindo,(3)punir,(3)castigar	(254)punindo,(291)punir,(143)castigar	punir,castigar		penoso,duro,cansativo,levar uma surra						tough																													[sound:7001-8000/howjsay/7001-8000-howjsay-punishing.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-punishing.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-punishing.mp3]					ˈpʌnɪʃ	ˈpʌn ɪ ʃɪŋ																						
obsessing					(3)obcecar,obcecado	(171)obcecado	obcecar								preoccupy																													[sound:7001-8000/howjsay/7001-8000-howjsay-obsessing.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-obsessing.mp3]					(əbˈsɛs)	əbˈses	əbˈsɛs																						
jeopardy	<u><b>jeopardy</b></u>:perigo,risco.	1. in danger of being damaged or destroyed.			(3)perigo,(3)risco	(609)perigo,(341)risco	perigo,·risco	perigo,·risco	em risco	<b>jeopardy</b>  perigo					danger, trouble																													[sound:7001-8000/howjsay/7001-8000-howjsay-jeopardy.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-jeopardy.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-jeopardy.mp3]				(ˈdʒɛp ər di)	ˈʤepədɪ	ˈdʒɛp ər di					"<span class=""ipa dipa"">-ɚ-</span>"																	
hilarious	<u><b>hilarious</b></u>:hilariante,hilário,hilária.	1. extremely funny.			(3)divertido,(3)hilário	(657)hilariante	divertido,hilário,hilariante	hilariante	hilariante	<b>hilarious</b>  hilariante					very funny																																												[sound:7001-8000/howjsay/7001-8000-howjsay-hilarious.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-hilarious.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus72219.mp3]				(hɪˈlɛər i əs, -ˈlær-, haɪ-)	hɪˈle(ə)rɪəs	hɪˈlɛər i əs, -ˈlær-, haɪ-					"<span class=""ipa dipa"">hɪˈleər·i·əs</span>"		
dame	<u><b>dame</b></u>:senhora,dama	1. used in the UK before the name of a woman who has been given an official title.	"01.  <font color=""#00aaff""><u>(Sociology)</font></u> <font color=""#00aaff""><u>(formerly)</font></u> a woman of rank or dignity; lady."		(3)dama		dama	,dama	dama	<b>dame</b>  <b>1.</b> dama <b>2.</b> <b>American</b> mulher					lady																													[sound:7001-8000/howjsay/7001-8000-howjsay-dame.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-dame.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-dame.mp3]				(deɪm)	deɪm	deɪm					"<span class=""ipa dipa"">deɪm</span>"																	
confide	<u><b>confide</b></u>:ter confiança em. <u><b>to confide</b></u>:confiar,contar com.	1. to tell something secret or personal to someone who you trust not to tell anyone else.	"02.  <font color=""#00aaff""><u>(tr)</font></u> to entrust into another's keeping.<BR>04.  To discuss private matters or problems <font color=""#00aaff""><u>(usu. fol. by in)</font></u>.<BR>07.  To tell <font color=""#00aaff""><u>(something)</font></u> in confidence."		(3)confiar	(221)confiar	confiar	confiar	revelar	<b>confide</b>  confiar					divulge information,entrust																													[sound:7001-8000/howjsay/7001-8000-howjsay-confide.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-confide.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-confide.mp3]				(kənˈfaɪd)	kənˈfaɪd	kənˈfaɪd																						
wilderness	<u><b>wilderness</b></u>:ermo,sertão,mata,selva,região selvagem,território selvagem.	1. an area of land that has not been used to grow crops or had towns and roads built on it, especially because it is difficult to live in as a result of its extremely cold or hot weather or bad earth. <BR>2. an outside area in which plants are left to grow naturally or untidily.			(3)deserto,região selvagem	(1855)deserto	deserto,·ermo	deserto,·ermo	deserto,mato	<b>wilderness</b>   ermo / deserto					forest																													[sound:7001-8000/howjsay/7001-8000-howjsay-wilderness.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-wilderness.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus74991.mp3]				(ˈwɪl dər nɪs)	ˈwɪldənɪs	ˈwɪl dər nɪs					"<span class=""ipa dipa"">-dɚ-</span>"																	
vindictive	<u><b>vindictive</b></u>:vingativo.	1. having or showing a wish to harm someone because you think that they harmed you; unwilling to forgive.			onde tá	(263)vingativo	vingativo	vingativo	vingativo						hateful, revengeful																													[sound:7001-8000/howjsay/7001-8000-howjsay-vindictive.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-vindictive.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-vindictive.mp3]				(vɪnˈdɪk tɪv)	vɪnˈdɪktɪv	vɪnˈdɪk tɪv																						
vial	<u><b>vial</b></u>:frasco,ampola.				(2)frasco pequeno,frasco	(1584)frasco	frasco,·ampola	,frasco,·ampola							container																													[sound:7001-8000/howjsay/7001-8000-howjsay-vial.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-vial.mp3]					(ˈvaɪ əl, vaɪl)	ˈvaɪəl	ˈvaɪ əl, vaɪl																						
venture	<u><b>venture</b></u>:risco,aventura,especulação. <u><b>to venture</b></u>:aventurar,arriscar,abalançar.	1. a new activity, usually in business, that involves risk or uncertainty. <BR>2. to risk going somewhere or doing something that might be dangerous or unpleasant, or to risk saying something that might be criticized.	"01.  <font color=""#00aaff""><u>(tr)</font></u> to brave the dangers of <font color=""#00aaff""><u>(something)</font></u>.<BR>02.  <font color=""#00aaff""><u>(tr)</font></u> to dare <font color=""#00aaff""><u>(to do something)</font></u>.<BR>03.  <font color=""#00aaff""><u>(tr)</font></u> to expose to danger; hazard."		(2)frasco pequeno,frasco	(463)aventurar,(526)empresa,(1027)risco,(759)empreendimento	·empreendimento,·arriscar,·aventurar,·consórcio	·aventurar,·consórcio,risco,·empreendimento,·arriscar	empreendimento,arriscar-se a	<b>venture</b>  aventura  <b>1.</b> aventurar-se <b>2.</b>  atrever-se <b>3.</b> arriscar					gamble, attempt,take a chance																													[sound:7001-8000/howjsay/7001-8000-howjsay-venture.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-venture.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-venture.mp3]				(ˈvɛn tʃər)	ˈvenʧə	ˈvɛn tʃər					"<span class=""ipa dipa"">-tʃɚ</span>"																	
teeny	<u><b>teeny</b></u>:pequenino.				(3)minúsculo,pequenininho	(25)pequena,(36)minúsculo,(38)pequeno,(41)pequenino	pequenino								small																													[sound:7001-8000/howjsay/7001-8000-howjsay-teeny.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-teeny.mp3]					(ˈtaɪ ni)	ˈtiːnɪ	ˈti ni																						
stroll	<u><b>stroll</b></u>:passeio,caminhada,passeata. <u><b>to stroll</b></u>:passear,andar,perambular	1. to walk somewhere in a slow and relaxed way.	"01.  <font color=""#00aaff""><u>(intr)</font></u> to wander from place to place."		(2)volta,passear	(883)passeio,(620)passear	·caminhada,passeio,passear	·caminhada,passeio,passear	passear,dar uma volta,passeio,volta	<b>stroll</b>  passear  passeio					lazy walk,walk along lazily																													[sound:7001-8000/howjsay/7001-8000-howjsay-stroll.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-stroll.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-stroll.mp3]				(stroʊl)	strəʊl	stroʊl					"<span class=""ipa dipa"">stroʊl</span>"																	
scrub	<u><b>scrub</b></u>:caatinga,matagal,limpeza pesada,esfregada,loção esfoliante. <u><b>scrub</b></u>:mestiço. <u><b>to scrub</b></u>:resfolegar. <u><b>to scrub</b></u>:lavar cuidadosamente,limpar esfregando,esfregar,esfoliar,depurar,livrar-se.	1. to clean something by rubbing it hard with a brush.	"01.  <font color=""#00aaff""><u>(Surgery)</font></u> <font color=""#00aaff""><u>(foll by.<BR>08.  To remove <font color=""#00aaff""><u>(dirt)</font></u>, esp by rubbing with a brush and water.<BR>09.  To remove impurities from <font color=""#00aaff""><u>(a gas)</font></u> chemically."		(3)esfrega,(3)esfregar	(390)esfregar	·matagal,esfrega,esfoliação,esfregar	·matagal,esfoliação,esfregar	esfregar,escovar						clean with force,cancel																													[sound:7001-8000/howjsay/7001-8000-howjsay-scrub.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-scrub.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-scrub.mp3]				(skrʌb)	skrʌb	skrʌb					"<span class=""ipa dipa"">skrʌb</span>"																	
posters	<u><b>posters</b></u>:cartazes.				cartazes	(1576)cartazes									large paper advertisement																													[sound:7001-8000/howjsay/7001-8000-howjsay-posters.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-posters.mp3]					(ˈpoʊ stər)	ˈpəʊstə,ˈpəʊstəz	ˈpoʊ stər																						
orbit	<u><b>orbit</b></u>:órbita. <u><b>to orbit</b></u>:orbitar. <u><b>to orbit</b></u>:orbitar.	1. the circular journey that a spacecraft or planet makes around the sun, the moon, or another planet.	"05.  To revolve around <font color=""#00aaff""><u>(a center of attraction)</font></u>."		(3)órbita	(5446)órbita	órbita,orbitar	órbita,orbitar	órbita,orbitar,descrever uma órbita ao redor de	<b>orbit</b> &nbsp;órbita  orbitar					circuit, revolution,influence, domain																																												[sound:7001-8000/howjsay/7001-8000-howjsay-orbit.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-orbit.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-eus75272.mp3]				(ˈɔr bɪt)	ˈɔːbɪt	ˈɔr bɪt					"<span class=""ipa dipa"">ˈɔr·bɪt</span>"		
nuns	<u><b>nuns</b></u>:freiras.				freiras	(1442)freiras									woman in religious order																													[sound:7001-8000/howjsay/7001-8000-howjsay-nuns.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-nuns.mp3]					(nʌn)	nʌnz,nʌn	nʌn																						
feather	<u><b>feather</b></u>:pena,pluma. <u><b>to feather</b></u>:emplumar.	1. one of the soft, light things that cover a bird’s skin. <BR>2. an achievement to be proud of. <BR>3. to make yourself rich, especially in a way that is selfish or dishonest.	"06.  To fit <font color=""#00aaff""><u>(an arrow)</font></u> with a feather."		(3)pena	(784)pena	pena,·pluma	pena,·pluma	pena,uma grande conquista,acumular riquezas desonestamente	<b>feather</b>  pena  acolchoar/forrar					tuft of bird; plumage																													[sound:7001-8000/howjsay/7001-8000-howjsay-feather.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-feather.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-feather.mp3]				(ˈfɛð ər)	ˈfeðə	ˈfɛð ər					"<span class=""ipa dipa"">ˈfeð·ər</span>"																	
donate	<u><b>to donate</b></u>:doar,presentear,esmolar.	1. to give something, mainly money, to a person or organization that needs help.			(3)doar	(1733)doar	doar	doar	doar	<b>donate</b>   doar					make a gift of																																												[sound:7001-8000/howjsay/7001-8000-howjsay-donate.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-donate.mp3]	[sound:7001-8000/cambridge/7001-8000-cambridge-donate.mp3]				(ˈdoʊ neɪt, doʊˈneɪt)	dəʊˈneɪt	ˈdoʊ neɪt, doʊˈneɪt					"<span class=""ipa dipa"">ˈdoʊ·neɪt</span>"		
distracting	<u><b>distracting</b></u>:perturbador,que distrai.				distrativo,(3)distrair	(106)distraindo,(46)distrai,(56)distração,(118)distrair	distrair								divert attention; confuse																													[sound:7001-8000/howjsay/7001-8000-howjsay-distracting.mp3]	[sound:7001-8000/thesaurus/7001-8000-thesaurus-distracting.mp3]						dɪsˈtrækt	dɪˈstrækt																						
